scen_id,src_node,node_id,dist_src,peak_conc,t_peak_min,mean_flow_m3s,detected
0008,JI5,JI12,-1,68.2104,12856.0,0.013617,1
0008,JI5,JI13,-1,60.0824,16642.0,0.009027,1
0008,JI5,O2,-1,40.4815,16643.0,0.008375,1
0008,JI5,entry,-1,0.0,,0.0,0
0010,JI1,J3,-1,0.0,,0.0,0
0010,JI1,J4,-1,0.0,,0.0,0
0010,JI1,J5,-1,0.0,,0.0,0
0010,JI1,J6,-1,0.0,,0.0,0
0010,JI1,J7,-1,0.0,,0.005545,0
0010,JI1,J8,-1,0.0,,0.0,0
0010,JI1,J9,-1,0.0,,0.0,0
0010,JI1,J10,-1,0.0,,0.0,0
0010,JI1,J11,-1,0.0,,0.002771,0
0010,JI1,O1,-1,0.0,,0.002709,0
0010,JI1,Aux3,-1,0.0,,0.002389,0
0010,JI1,J1,-1,0.0,,0.004141,0
0010,JI1,JI7,-1,0.0,,0.00414,0
0010,JI1,J2a,-1,0.0,,0.004786,0
0010,JI1,J2,-1,0.0,,0.004788,0
0010,JI1,JI9,-1,0.0,,0.004729,0
0010,JI1,JI6,-1,0.0,,0.002388,0
0010,JI1,J13,-1,0.0,,0.005534,0
0010,JI1,J12,-1,0.0,,0.006576,0
0010,JI1,JI8,-1,0.0,,0.00654,0
0010,JI1,JI1,-1,437.503,10984.0,0.002384,1
0010,JI1,JI2,-1,277.2447,10984.0,0.006504,1
0010,JI1,JI3,-1,177.7045,10986.0,0.011957,1
0010,JI1,JI4,-1,129.4878,10991.0,0.018163,1
0010,JI1,JI5,-1,106.6218,10997.0,0.022568,1
0010,JI1,Well,-1,48.7704,11387.0,0.022433,1
0010,JI1,JI10,-1,48.6031,11300.0,0.021769,1
0010,JI1,JI11,-1,23.2201,11309.0,0.019219,1
0010,JI1,JI12,-1,7.1961,17600.0,0.014113,1
0010,JI1,JI13,-1,2.55,17601.0,0.009311,0
0010,JI1,O2,-1,0.7915,16884.0,0.008647,0
0010,JI1,entry,-1,0.0,,0.0,0
0009,J13,J3,-1,0.0,,0.0,0
0009,J13,J4,-1,0.0,,0.0,0
0009,J13,J5,-1,0.0,,0.0,0
0009,J13,J6,-1,0.0,,0.0,0
0009,J13,J7,-1,791.5314,5950.0,0.005406,1
0009,J13,J8,-1,0.0,,0.0,0
0009,J13,J9,-1,0.0,,0.0,0
0009,J13,J10,-1,0.0,,0.0,0
0009,J13,J11,-1,0.0,,0.002654,0
0009,J13,O1,-1,0.0,,0.002596,0
0009,J13,Aux3,-1,0.0,,0.002292,0
0009,J13,J1,-1,0.0,,0.003974,0
0009,J13,JI7,-1,0.0,,0.003974,0
0009,J13,J2a,-1,0.0,,0.004595,0
0009,J13,J2,-1,0.0,,0.004597,0
0009,J13,JI9,-1,0.0,,0.004541,0
0009,J13,JI6,-1,0.0,,0.002291,0
0009,J13,J13,-1,808.136,5949.0,0.005395,1
0009,J13,J12,-1,0.0,,0.006313,0
0009,J13,JI8,-1,0.0,,0.006279,0
0009,J13,JI1,-1,0.0,,0.002201,0
